Date,Session Type,Match Opponent,Player Name,Result,Position Category,GP,GS,GA,SV,SV%,W,L,T,SHO,Player Participation Time (min),Total Touches (#),Touches per min (#/min),Releases (#),Releases per min (#/min),RV Zone 1 [0-10( m/s)],RV Zone 2 [10-15( m/s)],RV Zone 3 [> 15( m/s)],Total Possessions (#),One-Touch (#),Short Possessions (#),Avg Time on Ball - Short (sec),Long possessions (#),Avg Time on Ball - Long (sec),Total Time on Ball (sec),Top Speed (m/s),Distance Covered (m),Work Rate (m/min),HID Covered (m) Zone 1 [> 4(m/s)],HID per min (m/min),SD Covered (m) [> 5.5(m/s)],SD per min (m/min),Sprint Count (#),Speed Zone 1 - DC (m),Speed Zone 2 - DC (m),Speed Zone 3 - DC (m),Speed Zone 4 - DC (m),Speed Zone 5 - DC (m),Speed Zone 6 - DC (m),Speed Zone 7 - DC (m),Speed Change Actions (#) [> 2.6(m/s^2)],Speed Change Actions per min (#/min),Horizontal Acc Zone 1 (#),Horizontal Acc Zone 2 (#),Horizontal Acc Zone 3 (#),Horizontal Acc Zone 4 (#),Horizontal Acc Zone 5 (#),Horizontal Acc Zone 6 (#),Horizontal Decl Zone 1 (#),Horizontal Decl Zone 2 (#),Horizontal Decl Zone 3 (#),Horizontal Decl Zone 4 (#),Horizontal Decl Zone 5 (#),Horizontal Decl Zone 6 (#),Horizontal Acc Zone 1 - DC (m),Horizontal Acc Zone 2 - DC (m),Horizontal Acc Zone 3 - DC (m),Horizontal Acc Zone 4 - DC (m),Horizontal Acc Zone 5 - DC (m),Horizontal Acc Zone 6 - DC (m),Horizontal Decl Zone 1 - DC (m) ,Horizontal Decl Zone 2 - DC (m),Horizontal Decl Zone 3 - DC (m),Horizontal Decl Zone 4 - DC (m),Horizontal Decl Zone 5 - DC (m),Horizontal Decl Zone 6 - DC (m),Receives (#),Release Velocity Min (m/s),Release Velocity Max (m/s),Release Velocity Avg (m/s)
10/2/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,23,38,1.6,19,0.8,4,14,1,19,18,0,,1,5.46,5,3.56,926,39.03,0,0,0,0,0,628,129,163,6,0,0,0,1,0,351,69,39,17,5,1,404,48,27,13,4,2,310,92,43,14,5,1,358,64,26,11,4,0,1,4.4,15.2,12.1
10/2/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,20,36,1.74,19,0.92,4,14,1,19,18,0,,1,5.46,5,3.56,790,38.19,0,0,0,0,0,503,114,165,9,0,0,0,1,0,314,51,33,18,6,1,358,36,26,14,4,2,254,78,41,15,6,1,297,56,27,12,4,0,1,4.4,15.2,12.3
10/2/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,38,77,2,27,0.7,7,19,1,27,17,2,1.01,8,2.95,26,4.41,1888,49.03,2,0.05,0,0,0,1277,219,321,68,2,0,0,2,0.1,528,141,39,19,14,2,624,86,25,24,4,1,655,167,67,23,13,2,776,110,42,27,4,1,10,5,15.8,11.7
10/6/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,144,57,0.4,1,0.01,,,,,,,,,,,3.62,2175,15.09,0,0,0,0,0,1584,139,417,36,0,0,0,0,0,3123,213,35,16,6,0,3309,91,19,14,2,0,838,150,38,15,5,0,1022,72,24,9,2,0,,,13,
10/6/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,73,79,1.08,16,0.22,5,11,0,16,10,3,1.45,3,3.2,14,3.62,1911,26.09,0,0,0,0,0,1320,139,417,36,0,0,0,0,0,1351,178,35,16,6,0,1511,76,19,14,2,0,714,139,38,15,5,0,897,68,24,9,2,0,6,,14.6,10.7
10/6/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,13,32,2.42,5,0.38,3,2,0,5,3,2,1.19,0,,2,2.59,316,23.92,0,0,0,0,0,272,23,21,0,0,0,0,0,0,236,38,11,3,0,0,254,22,4,3,0,0,112,26,9,2,0,0,148,14,4,1,0,0,2,,13,8.6
10/6/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,28,40,1.42,11,0.39,2,9,0,11,7,1,1.97,3,3.2,12,3.62,643,22.84,0,0,0,0,0,493,58,86,7,0,0,0,0,0,510,66,20,11,6,0,577,32,12,11,2,0,207,61,24,11,5,0,271,36,19,8,2,0,4,,14.6,11.7
10/6/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,16,6,0.37,0,0,0,0,0,0,0,0,,0,,0,2.64,223,13.6,0,0,0,0,0,210,8,6,0,0,0,0,0,0,338,29,1,1,0,0,373,9,1,0,0,0,90,15,1,1,0,0,111,5,0,0,0,0,0,,,
10/8/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,159,27,0.17,1,0.01,,,,,,,,,,,3.97,1935,12.1,0,0,0,0,0,1336,123,444,32,0,0,0,1,0,4188,156,26,5,3,1,4260,78,15,3,2,0,807,107,29,8,3,0,894,66,15,4,1,0,,,9.3,
10/8/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,89,36,0.4,8,0.09,4,3,1,8,7,0,,1,5.35,5,3.97,1878,21.04,0,0,0,0,0,1279,123,444,32,0,0,0,1,0,1836,154,26,5,3,1,1908,78,15,3,2,0,780,107,29,8,3,0,865,66,15,4,1,0,1,,15,9.5
10/8/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,17,10,0.56,1,0.06,0,1,0,1,0,0,,1,5.35,5,3.43,345,19.21,0,0,0,0,0,214,17,100,14,0,0,0,0,0,361,34,5,3,2,0,379,18,7,0,1,0,128,28,8,4,2,0,148,18,8,1,1,0,1,,13,13
10/8/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,19,5,0.26,2,0.1,1,0,1,2,2,0,,0,,0,2.84,326,16.88,0,0,0,0,0,309,7,10,0,0,0,0,0,0,418,27,3,1,0,0,420,11,2,1,0,0,146,14,4,1,0,0,151,7,2,1,0,0,0,,15,9
10/8/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,34,12,0.34,4,0.11,2,2,0,4,4,0,,0,,0,2.99,437,12.54,0,0,0,0,0,399,28,9,0,0,0,0,1,0,757,36,11,0,0,1,776,24,2,2,1,0,185,26,8,0,1,0,196,16,2,2,0,0,0,,13.2,8.8
10/9/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,123,43,0.35,2,0.02,,,,,,,,,,,3.65,1975,16.02,0,0,0,0,0,1379,151,403,43,0,0,0,3,0,2854,154,43,13,8,3,2995,95,26,12,2,0,744,137,46,14,8,2,903,80,29,10,2,0,,,12.4,
10/9/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,13,21,1.58,2,0.15,1,1,0,2,2,0,,0,,0,3.2,411,31.05,0,0,0,0,0,358,18,31,4,0,0,0,1,0.1,225,38,14,2,0,1,248,23,10,2,0,0,154,34,13,1,1,0,179,19,8,2,0,0,0,,12.6,11.2
10/9/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,61,66,1.08,14,0.23,4,10,0,14,13,0,,1,3.78,4,3.65,1336,21.79,0,0,0,0,0,1079,103,127,27,0,0,0,3,0,1167,111,43,12,8,3,1256,80,26,12,2,0,475,104,44,13,8,2,578,70,29,10,2,0,1,2,13.6,10.5
10/9/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,14,20,1.39,7,0.49,1,6,0,7,7,0,,0,,0,3.65,366,25.43,0,0,0,0,0,280,21,51,15,0,0,0,1,0.1,256,28,10,2,5,1,286,17,2,7,2,0,127,28,11,5,4,1,157,17,8,6,2,0,0,2,13.4,10.2
10/9/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,30,17,0.56,4,0.13,1,3,0,4,4,0,,0,,0,3.52,396,12.97,0,0,0,0,0,332,32,28,5,0,0,0,1,0,649,37,7,5,1,1,677,25,7,2,0,0,149,26,10,4,1,1,178,19,6,3,0,0,0,,13.6,11.7
10/13/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,113,27,0.24,1,0.01,,,,,,,,,,,4.27,2185,19.3,3,0.03,0,0,0,1590,144,378,70,3,0,0,2,0,2308,196,37,12,5,2,2453,108,23,6,1,1,864,142,35,14,3,2,1012,87,19,5,1,1,,,8.1,
10/13/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,91,54,0.59,7,0.08,4,3,0,7,6,0,,1,2.66,3,4.27,1829,19.93,3,0.04,0,0,0,1510,131,114,70,3,0,0,2,0,1781,192,37,12,5,2,1921,105,24,6,1,1,695,138,35,14,3,2,831,84,19,5,1,1,1,2.1,14.6,8.9
10/13/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,32,0,0,0,0,0,0,0,0,0,0,,0,,0,2.35,425,12.98,0,0,0,0,0,406,11,8,0,0,0,0,0,0,688,44,0,0,0,0,722,13,1,0,0,0,195,19,0,0,0,0,203,8,0,0,0,0,0,,,
10/13/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,46,53,1.13,7,0.15,4,3,0,7,6,0,,1,2.66,3,4.27,1103,23.51,3,0.07,0,0,0,864,96,86,54,3,0,0,2,0,866,117,36,10,5,2,948,82,21,6,1,1,385,98,31,11,3,2,486,64,16,5,1,1,1,2.1,14.6,8.9
10/14/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,136,48,0.35,3,0.02,,,,,,,,,,,4.72,2405,17.58,8,0.06,0,0,0,1730,185,405,77,8,0,0,3,0,2994,182,37,16,5,3,3099,95,18,15,4,4,994,141,49,16,7,1,1072,78,24,15,4,3,,,12.3,
10/15/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,117,91,0.77,6,0.05,,,,,,,,,,,6.72,3403,28.9,82,0.7,60,0.51,1,1931,371,872,146,22,60,0,5,0,2282,228,80,17,10,5,2489,135,42,21,4,3,1199,299,96,21,14,5,1512,172,56,21,6,3,,,11.2,
10/15/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,70,138,1.95,22,0.31,12,9,1,22,8,7,1.31,7,4.29,39,6.72,2825,39.83,82,1.16,60,0.84,1,1655,359,598,131,22,60,0,5,0.1,1178,207,77,16,9,5,1348,127,42,20,4,3,938,288,93,20,14,5,1215,167,56,20,6,3,14,1.5,17.4,8.9
10/15/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,20,42,2.08,6,0.3,2,4,0,6,2,3,1.23,1,4.13,8,6.72,957,47.42,76,3.74,60,2.97,1,380,114,295,92,16,60,0,2,0.1,341,53,16,6,2,2,388,31,10,6,1,0,322,99,24,7,4,3,415,54,19,8,1,0,4,,13.5,10.3
10/15/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,19,22,1.14,5,0.26,5,0,0,5,3,0,,2,5.07,10,4.15,601,31.21,1,0.06,0,0,0,471,50,68,11,1,0,0,0,0,348,44,22,3,1,0,388,26,11,4,1,1,212,51,26,4,0,0,258,33,12,3,2,1,2,1.5,9.4,5.4
10/19/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,288,89,0.31,8,0.03,,,,,,,,,,,6.45,3499,12.15,339,1.18,44,0.15,6,1951,247,625,337,295,44,0,1,0,5294,212,67,23,14,1,5446,119,29,21,5,3,1261,221,100,34,12,0,1646,144,53,21,6,2,,,13,
10/22/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,200,111,0.55,6,0.03,,,,,,,,,,,4.66,3571,17.77,6,0.03,0,0,0,2413,323,772,57,6,0,0,1,0,2837,345,117,30,12,1,3046,229,66,15,6,0,1265,367,119,28,7,0,1465,229,71,17,4,0,,,14,
10/22/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,104,165,1.58,38,0.36,15,22,1,38,25,4,1.11,9,4.18,42,4.66,3132,29.91,6,0.06,0,0,0,2278,308,482,57,6,0,0,1,0,1754,330,113,30,12,1,1964,219,65,15,6,0,1055,350,116,28,7,0,1266,217,70,17,4,0,13,2.7,15.6,10.6
10/22/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,64,119,1.85,30,0.47,9,20,1,30,20,2,0.85,8,4.27,36,4.66,2093,32.51,6,0.1,0,0,0,1430,230,380,45,6,0,0,1,0,1045,204,76,22,12,1,1187,135,48,12,6,0,681,244,87,23,7,0,821,155,55,15,4,0,10,4.8,15.6,11.5
10/22/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,30,28,0.92,6,0.2,5,1,0,6,5,1,1.96,0,,2,2.77,643,21.06,0,0,0,0,0,536,51,56,0,0,0,0,0,0,565,80,27,3,0,0,622,44,12,3,0,0,226,73,18,2,0,0,276,36,11,2,0,0,1,2.7,10.5,5.9
10/23/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,161,91,0.56,6,0.04,,,,,,,,,,,3.86,3186,19.76,0,0,0,0,0,2334,216,560,76,0,0,0,0,0,2763,262,65,15,3,0,2940,145,37,14,4,0,1229,250,73,12,2,0,1438,129,35,15,2,0,,,11,
10/23/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,72,128,1.76,24,0.33,14,10,0,24,9,9,1.15,6,3.89,34,3.86,2778,38.15,0,0,0,0,0,2199,207,305,67,0,0,0,0,0,1139,257,64,15,3,0,1307,145,36,14,4,0,1038,243,72,12,2,0,1230,128,35,15,2,0,15,3.4,14,9.2
10/23/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,11,74,6.35,16,1.37,10,6,0,16,5,7,1.11,4,3.85,23,3.72,435,37.36,0,0,0,0,0,254,91,82,9,0,0,0,0,0,171,46,28,9,1,0,187,45,18,6,1,0,118,66,28,5,0,0,152,43,16,5,1,0,11,3.4,12.3,9.1
10/23/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,50,43,0.85,5,0.1,2,3,0,5,3,1,1.5,1,3.82,5,3.86,1971,39.13,0,0,0,0,0,1668,88,163,52,0,0,0,0,0,802,163,24,5,1,0,925,74,14,6,2,0,789,140,30,5,1,0,920,64,15,6,1,0,2,,14,9.5
10/29/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,205,39,0.19,12,0.06,,,,,,,,,,,6,3923,19.12,227,1.1,62,0.3,4,1957,181,1329,230,165,62,0,4,0,5220,164,29,30,5,4,5354,92,23,15,3,6,1614,153,70,38,8,5,1871,94,35,19,7,10,,,13.8,
10/29/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,103,75,0.73,22,0.21,7,15,0,22,19,1,1.86,2,4.74,11,6,3510,34.07,227,2.2,62,0.6,4,1831,169,1053,230,165,62,0,4,0,1989,159,29,30,5,4,2108,89,23,15,3,6,1413,146,70,38,8,5,1668,90,35,19,7,10,3,1.5,13.8,10.5
10/29/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,48,40,0.83,16,0.33,4,12,0,16,14,1,1.86,1,5.91,8,3.76,1259,26.1,0,0,0,0,0,953,116,167,24,0,0,0,0,0,897,110,15,16,2,0,967,58,13,10,1,0,482,97,28,15,2,0,549,55,20,10,0,0,2,3,13.8,10.9
10/29/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,23,8,0.34,3,0.13,0,3,0,3,2,0,,1,3.57,4,6,1699,71.89,227,9.59,62,2.61,4,354,31,882,206,165,62,0,4,0.2,459,10,7,13,3,4,487,15,3,5,2,6,679,31,36,22,6,5,856,25,11,10,7,10,1,,13.2,11.9
10/29/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,27,26,0.95,2,0.07,2,0,0,2,2,0,,0,,0,3.14,536,19.68,0,0,0,0,0,507,24,4,1,0,0,0,0,0,542,37,7,1,0,0,559,15,7,0,0,0,247,17,5,0,0,0,252,10,4,0,0,0,0,,9.6,9.4
10/30/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,90,85,0.93,5,0.05,,,,,,,,,,,5.02,2493,27.41,10,0.11,0,0,0,1696,212,545,30,10,0,0,0,0,1743,222,41,17,2,0,1910,118,19,2,4,1,998,180,45,15,1,0,1130,94,20,6,4,0,,,13.8,
10/30/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,88,116,1.31,22,0.25,8,14,0,22,13,1,1.59,8,4.01,34,5.02,2487,28.06,10,0.12,0,0,0,1689,212,545,30,10,0,0,0,0,1685,222,41,17,2,0,1851,118,19,2,4,1,995,180,45,15,1,0,1126,94,20,6,4,0,9,2.6,14,9.5
10/30/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,26,33,1.27,3,0.12,3,0,0,3,1,0,,2,4.86,10,2.75,500,19.21,0,0,0,0,0,425,51,24,0,0,0,0,0,0,503,52,12,7,1,0,549,36,4,0,0,0,176,41,13,4,1,0,234,28,3,0,0,0,2,5.1,5.8,5.5
10/30/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,22,49,2.14,9,0.39,3,6,0,9,5,1,1.59,3,3.8,13,3.26,667,29.1,0,0,0,0,0,521,67,72,7,0,0,0,0,0,406,76,10,6,1,0,451,41,9,0,2,0,274,59,9,6,1,0,274,31,8,2,2,0,4,2.6,14,10.4
10/30/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,20,27,1.35,10,0.5,2,8,0,10,7,0,,3,3.66,11,5.02,518,25.89,10,0.52,0,0,0,367,41,85,14,10,0,0,0,0,408,36,13,3,0,0,441,17,4,1,2,1,204,34,17,4,0,0,230,17,5,4,3,0,3,3.8,13.8,10
9/18/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,130,55,0.42,4,0.03,,,,,,,,,,,4.3,1987,15.2,7,0.05,0,0,0,1295,197,465,23,7,0,0,0,0,2873,167,49,14,4,0,3010,98,24,11,3,0,750,163,48,14,4,0,876,95,25,10,2,0,,,11.8,
9/18/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,90,80,0.88,22,0.24,9,13,0,22,17,1,1.75,4,3.82,17,4.3,1949,21.55,7,0.08,0,0,0,1256,197,465,23,7,0,0,0,0,1805,165,48,14,4,0,1933,97,24,11,3,0,732,161,48,14,4,0,858,95,25,10,2,0,5,,13.2,10.1
9/18/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,18,11,0.59,2,0.11,1,1,0,2,1,0,,1,5.04,5,3.48,352,18.8,0,0,0,0,0,301,34,13,4,0,0,0,0,0,371,35,10,1,1,0,410,17,4,1,0,0,132,25,6,2,1,0,166,14,3,1,0,0,1,,10.4,6.6
9/18/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,17,15,0.84,4,0.22,0,4,0,4,3,0,,1,3.55,4,4.3,238,13.29,7,0.4,0,0,0,189,15,24,3,7,0,0,0,0,383,24,4,3,1,0,398,12,2,2,1,0,87,20,5,3,2,0,102,11,4,3,1,0,1,,11.8,11.4
9/18/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,18,54,2.85,15,0.79,7,8,0,15,12,1,1.75,2,3.34,8,3.28,568,29.93,0,0,0,0,0,361,88,117,2,0,0,0,0,0,304,61,29,8,2,0,337,46,14,9,2,0,167,82,30,6,1,0,207,50,16,6,1,0,3,,13.2,10.3
9/18/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,,0,,0,0.66,20,1.78,0,0,0,0,0,20,0,0,0,0,0,0,0,0,280,2,0,0,0,0,282,0,0,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,,,
9/18/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,10,3,0.3,1,0.1,1,0,0,1,1,0,,0,,0,2.44,170,16.88,0,0,0,0,0,158,3,9,0,0,0,0,0,0,208,16,2,0,0,0,225,4,3,0,0,0,73,10,1,0,0,0,80,4,2,0,0,0,0,,8.7,8.7
9/29/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,131,11,0.08,0,0,,,,,,,,,,,3.85,1834,13.99,0,0,0,0,0,1375,73,304,82,0,0,0,0,0,2972,109,15,2,0,0,3046,43,5,1,1,0,807,71,14,1,0,0,909,26,4,1,0,0,,,,
9/29/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,74,18,0.24,0,0,0,0,0,0,0,0,,0,,0,3.85,1550,20.71,0,0,0,0,0,1092,73,304,82,0,0,0,0,0,1599,96,14,2,0,0,1641,41,4,1,1,0,676,66,13,1,0,0,765,25,4,1,0,0,0,,,
9/29/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,22,8,0.36,0,0,0,0,0,0,0,0,,0,,0,3.08,280,12.65,0,0,0,0,0,262,11,6,1,0,0,0,0,0,496,14,4,0,0,0,502,4,1,1,1,0,134,9,4,0,0,0,126,4,2,1,0,0,0,,,
9/29/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,40,11,0.27,0,0,0,0,0,0,0,0,,0,,0,2.58,668,16.56,0,0,0,0,0,643,16,9,0,0,0,0,0,0,853,52,7,2,0,0,884,21,3,0,0,0,307,25,5,1,0,0,314,14,2,0,0,0,0,,,
